ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
3250,B,Ship,5,bad,265,2,medium,F,7,5464,yes
3251,C,Ship,4,worst,181,2,low,F,3,5877,no
3252,F,Ship,6,excellent,189,2,high,M,4,5898,yes
3253,D,Ship,3,bad,160,3,medium,F,6,4808,yes
3254,F,Ship,3,ok,235,3,medium,F,10,4186,no
3255,A,Ship,3,good,100,3,medium,M,4,4191,no
3256,B,Ship,5,excellent,135,4,medium,F,7,5765,yes
3257,C,Ship,5,bad,137,3,low,M,6,4883,no
3258,F,Ship,4,bad,222,3,high,F,9,5337,no
3259,D,Ship,5,worst,246,3,medium,F,10,4078,yes
3260,F,Ship,3,ok,202,3,medium,F,8,5486,yes
3261,A,Ship,4,excellent,273,3,low,F,1,5043,yes
3262,B,Road,5,worst,248,2,low,F,9,5881,yes
3263,C,Road,4,good,199,4,medium,F,5,4194,no
3264,F,Road,4,ok,209,3,medium,M,7,4104,yes
3265,D,Road,4,excellent,216,2,low,M,2,4905,no
3266,F,Road,4,bad,227,3,low,M,2,4318,yes
3267,A,Road,3,worst,216,4,medium,F,4,4416,no
3268,B,Road,2,ok,242,2,medium,F,1,5892,yes
3269,C,Road,5,good,217,3,medium,F,8,4949,yes
3270,F,Road,2,bad,160,3,medium,F,9,4613,no
3271,D,Road,5,ok,141,2,medium,M,4,5257,no
3272,F,Road,5,good,263,2,medium,F,5,4595,no
3273,A,Road,5,good,171,4,low,M,7,5359,yes
3274,B,Road,3,excellent,195,2,low,F,4,4864,no
3275,C,Road,3,excellent,237,3,low,M,4,5561,yes
3276,F,Road,2,excellent,241,4,low,F,4,5693,yes
3277,D,Road,3,good,134,3,medium,F,9,4230,yes
3278,F,Road,5,excellent,156,3,low,F,5,5398,yes
3279,A,Road,3,good,211,2,low,M,6,6000,no
3280,B,Road,3,bad,243,2,low,F,5,4769,no
3281,C,Road,4,ok,196,2,medium,F,7,4116,yes
3282,F,Road,3,ok,242,2,medium,F,7,4960,no
3283,D,Road,3,good,175,3,low,F,3,4449,no
3284,F,Flight,2,bad,155,3,low,M,1,5154,no
3285,A,Flight,4,worst,200,2,low,F,9,4808,yes
3286,B,Flight,3,ok,191,3,low,M,4,4586,no
3287,C,Flight,4,excellent,221,3,low,F,6,5895,no
3288,F,Flight,3,worst,135,3,low,M,9,4511,no
3289,D,Flight,3,bad,152,4,medium,F,7,5943,yes
3290,F,Flight,2,excellent,172,2,low,M,7,4649,no
3291,A,Flight,5,bad,253,2,high,F,2,5643,yes
3292,B,Flight,5,worst,270,2,high,M,10,5360,no
3293,C,Flight,2,good,139,4,high,M,3,5041,no
3294,F,Flight,5,bad,257,4,medium,M,9,5088,no
3295,D,Flight,4,worst,155,3,low,F,5,4283,yes
3296,F,Flight,3,excellent,125,2,low,M,5,4933,yes
3297,A,Flight,5,good,233,2,low,F,7,4597,yes
3298,B,Flight,3,ok,205,2,medium,M,6,4989,yes
3299,C,Flight,5,good,243,3,medium,M,4,4420,yes
3300,F,Flight,4,good,208,3,low,F,10,4919,no
3301,D,Flight,3,worst,230,3,medium,F,6,4392,no
3302,F,Flight,4,excellent,205,3,medium,M,5,4949,yes
3303,A,Flight,3,good,170,2,low,F,2,5664,no
3304,B,Flight,4,bad,222,2,medium,M,5,4268,no
3305,C,Flight,5,good,186,2,low,M,3,4213,no
3306,F,Ship,5,worst,208,2,low,F,8,5218,no
3307,D,Ship,4,ok,223,3,medium,F,9,5897,no
3308,F,Ship,5,ok,154,2,medium,M,8,4006,no
3309,A,Ship,5,ok,235,4,medium,F,10,4011,no
3310,B,Ship,4,ok,271,3,medium,M,1,4137,no
3311,C,Ship,4,excellent,250,3,low,F,2,5206,no
3312,F,Ship,4,bad,206,2,medium,M,4,5159,no
3313,D,Ship,3,worst,153,3,low,M,10,5121,yes
3314,F,Ship,4,good,212,2,medium,F,6,4117,yes
3315,A,Ship,6,good,168,2,high,M,6,5686,no
3316,B,Ship,3,worst,171,2,low,M,10,5379,yes
3317,C,Ship,3,excellent,132,2,low,M,10,4462,yes
3318,F,Ship,5,ok,141,3,low,M,9,4857,no
3319,D,Ship,3,bad,254,2,low,M,1,4334,no
3320,F,Ship,4,good,159,2,medium,F,6,5221,no
3321,A,Ship,2,good,194,2,low,F,4,4803,yes
3322,B,Ship,4,ok,178,6,low,M,6,4203,no
3323,C,Ship,3,good,151,3,low,M,2,5712,yes
3324,F,Ship,5,worst,244,2,low,F,5,4125,yes
3325,D,Ship,3,bad,237,3,low,M,8,5287,yes
3326,F,Ship,3,worst,241,3,medium,M,9,5184,no
3327,A,Ship,4,bad,156,3,low,M,3,5923,no
3328,B,Ship,4,ok,243,3,medium,M,1,5021,no
3329,C,Ship,5,excellent,219,2,medium,M,4,4289,no
3330,F,Ship,4,excellent,168,2,high,M,2,5776,no
3331,D,Ship,6,ok,224,6,high,M,8,5661,no
3332,F,Ship,4,good,216,2,medium,M,2,5840,yes
3333,A,Ship,3,worst,187,5,low,F,6,4698,no
3334,B,Ship,5,ok,204,3,high,F,1,4037,yes
3335,C,Ship,6,excellent,266,5,low,M,10,4140,no
3336,F,Ship,3,good,179,2,low,F,2,4931,yes
3337,D,Ship,3,good,184,3,low,M,10,4776,no
3338,F,Ship,6,bad,204,4,medium,F,2,4431,no
3339,A,Ship,3,good,255,2,medium,F,7,4332,yes
3340,B,Ship,4,worst,272,2,medium,F,5,5252,no
3341,C,Ship,4,ok,186,2,low,M,7,4947,yes
3342,F,Ship,5,good,147,4,medium,M,6,4369,no
3343,D,Ship,3,good,145,3,medium,M,4,5361,yes
3344,F,Ship,5,worst,255,3,medium,F,6,5715,no
3345,A,Ship,3,good,133,2,low,F,7,4663,no
3346,B,Ship,4,worst,155,4,low,F,1,4985,no
3347,C,Ship,4,excellent,151,4,medium,M,10,4796,no
3348,F,Ship,4,bad,270,2,high,F,3,4914,yes
3349,D,Ship,3,worst,234,4,high,M,6,4942,no
3350,F,Ship,3,excellent,186,2,medium,M,4,4352,no
3351,A,Ship,4,excellent,157,2,medium,M,6,5937,no
3352,B,Ship,4,good,268,3,low,M,7,5947,no
3353,C,Ship,4,ok,244,2,low,M,10,4486,yes
3354,F,Ship,4,excellent,190,3,low,M,2,4554,no
3355,D,Ship,4,good,161,4,low,M,5,5038,no
3356,F,Ship,2,good,162,3,high,F,2,5893,yes
3357,A,Ship,4,ok,163,8,medium,F,6,5739,no
3358,B,Ship,3,ok,211,6,low,M,5,5777,yes
3359,C,Ship,3,good,205,8,medium,M,1,4977,yes
3360,F,Ship,3,excellent,150,3,medium,F,4,4442,yes
3361,D,Ship,2,excellent,209,5,medium,F,10,4623,yes
3362,F,Ship,5,bad,250,3,medium,F,6,5298,no
3363,A,Ship,3,bad,206,3,high,F,1,4431,yes
3364,B,Ship,5,bad,244,3,low,M,2,4198,no
3365,C,Ship,2,worst,180,3,low,M,2,4615,yes
3366,F,Ship,4,good,256,3,medium,M,1,5784,yes
3367,D,Ship,5,good,273,3,medium,F,2,5672,yes
3368,F,Ship,4,worst,178,8,medium,F,6,4872,no
3369,A,Ship,4,bad,296,2,medium,F,2,1233,no
3370,B,Ship,3,ok,249,5,medium,F,9,1752,no
3371,C,Ship,4,excellent,151,4,medium,M,3,5470,no
3372,F,Ship,4,ok,270,2,high,F,5,5346,no
3373,D,Ship,3,bad,234,4,high,F,7,4568,yes
3374,F,Ship,3,good,186,2,medium,F,9,5841,no
3375,A,Ship,4,worst,157,2,medium,M,3,5801,no
3376,B,Ship,4,bad,268,3,low,F,3,5488,yes
3377,C,Ship,4,worst,244,2,low,F,3,4644,yes
3378,F,Ship,4,good,190,3,low,M,2,4800,no
3379,D,Ship,4,bad,161,4,low,F,10,5322,no
3380,F,Ship,2,bad,162,3,high,M,10,4489,yes
3381,A,Ship,4,worst,163,8,medium,F,9,5489,yes
3382,B,Ship,3,bad,211,6,low,F,2,4417,no
3383,C,Ship,3,good,205,8,medium,F,5,4869,yes
3384,F,Ship,3,ok,150,3,medium,M,4,5536,no
3385,D,Ship,2,excellent,209,5,medium,F,9,5565,no
3386,F,Ship,5,ok,250,3,medium,M,4,4343,no
3387,A,Ship,3,worst,206,3,high,F,8,4763,yes
3388,B,Ship,5,excellent,244,3,low,M,9,5695,no
3389,C,Ship,2,bad,180,3,low,M,2,5033,yes
3390,F,Ship,4,excellent,256,3,medium,M,10,4504,yes
3391,D,Ship,5,good,273,3,medium,M,6,4044,yes
3392,F,Ship,4,bad,178,8,medium,M,5,4120,yes
3393,A,Ship,4,ok,296,2,medium,F,9,1523,yes
3394,B,Ship,4,bad,275,6,medium,M,2,1712,yes
3395,C,Ship,5,excellent,270,3,low,M,2,4351,yes
3396,F,Ship,6,excellent,224,4,medium,M,6,4616,no
3397,D,Ship,2,good,172,5,low,M,4,4668,no
3398,F,Ship,4,good,176,3,low,F,1,4774,no
3399,A,Road,6,bad,240,4,low,M,9,4099,no
3400,B,Road,3,good,213,3,low,F,5,4535,yes
3401,C,Road,4,bad,197,3,low,F,2,5707,no
3402,F,Road,4,excellent,167,2,low,F,7,4289,yes
3403,D,Road,5,worst,180,3,low,F,2,5013,yes
3404,F,Road,3,worst,119,2,low,F,10,4146,yes
3405,A,Road,5,excellent,232,4,low,M,3,5447,no
3406,B,Road,3,excellent,139,2,medium,M,7,5536,no
3407,C,Road,3,bad,272,3,low,M,2,4459,yes
3408,F,Road,3,bad,253,3,low,F,7,4915,no
3409,D,Road,3,bad,188,3,low,M,4,5376,no
3410,F,Road,3,good,202,3,medium,M,5,5169,no
3411,A,Road,3,worst,134,3,low,F,7,5802,yes
3412,B,Road,3,excellent,110,3,medium,M,3,4252,yes
3413,C,Road,3,bad,172,2,low,F,9,4532,yes
3414,F,Road,3,worst,188,3,low,M,3,4222,no
3415,D,Road,3,worst,258,4,medium,F,6,5365,yes
3416,F,Road,5,ok,234,3,low,M,10,5673,no
3417,A,Road,3,good,148,4,medium,F,9,5301,no
3418,B,Road,5,ok,194,4,low,F,2,5396,no
3419,C,Road,4,good,266,3,medium,F,2,5413,yes
3420,F,Road,5,excellent,158,3,medium,M,7,5559,yes
3421,D,Flight,5,worst,228,2,high,M,6,4984,yes
3422,F,Flight,4,excellent,159,2,low,M,1,5671,no
3423,A,Flight,3,good,255,4,low,M,10,4107,no
3424,B,Flight,3,good,213,3,low,F,4,5481,yes
3425,C,Flight,3,good,148,2,low,F,5,4693,yes
3426,F,Flight,4,excellent,219,3,medium,M,6,5957,yes
3427,D,Flight,3,excellent,168,5,medium,M,9,5731,yes
3428,F,Flight,4,ok,148,5,medium,F,6,4802,no
3429,A,Flight,3,good,149,3,low,F,5,5467,no
3430,B,Flight,3,excellent,245,6,high,M,9,4793,no
3431,C,Flight,3,worst,200,2,medium,M,10,5178,yes
3432,F,Flight,3,worst,228,3,medium,M,9,5530,no
3433,D,Flight,4,worst,175,4,low,M,2,4053,no
3434,F,Flight,3,ok,201,3,low,M,9,5895,yes
3435,A,Flight,4,ok,267,4,low,M,7,5140,no
3436,B,Flight,3,good,217,2,medium,F,9,5450,no
3437,C,Flight,2,ok,160,2,high,M,3,4409,no
3438,F,Flight,4,good,264,3,low,F,2,4279,yes
3439,D,Flight,3,worst,179,3,high,M,5,5898,yes
3440,F,Flight,4,excellent,259,3,medium,M,10,4921,yes
3441,A,Flight,4,excellent,178,2,high,M,5,5403,no
3442,B,Flight,3,bad,242,5,medium,M,6,4694,no
3443,C,Ship,4,good,235,2,low,M,4,5671,no
3444,F,Ship,4,worst,247,2,medium,F,7,5098,no
3445,D,Ship,2,bad,240,5,low,M,7,4138,yes
3446,F,Ship,3,worst,252,2,low,M,4,5559,no
3447,A,Ship,5,good,237,2,low,M,8,5600,yes
3448,B,Ship,4,bad,161,3,low,F,4,5947,no
3449,C,Ship,2,ok,144,4,low,F,10,4075,no
3450,F,Ship,4,worst,163,4,medium,M,2,5432,yes
3451,D,Ship,4,ok,246,3,low,F,5,5118,no
3452,F,Ship,3,bad,213,3,medium,M,10,5993,yes
3453,A,Ship,5,worst,123,2,low,F,9,5497,no
3454,B,Ship,4,ok,192,3,low,M,1,4045,yes
3455,C,Ship,4,good,149,3,low,F,8,5658,yes
3456,F,Ship,5,ok,206,4,high,F,1,4583,no
3457,D,Ship,6,good,243,6,low,M,8,5218,no
3458,F,Ship,4,excellent,136,3,low,F,1,4585,yes
3459,A,Ship,4,worst,170,2,medium,F,5,5182,no
3460,B,Ship,2,good,180,2,low,F,8,4321,yes
3461,C,Ship,3,excellent,220,2,low,F,1,5663,no
3462,F,Ship,3,ok,144,2,low,M,6,5994,yes
3463,D,Ship,3,good,271,2,medium,M,6,4218,no
3464,F,Ship,4,good,186,2,medium,F,9,4887,yes
3465,A,Ship,2,excellent,247,4,medium,M,4,5255,yes
3466,B,Ship,4,good,202,3,medium,M,2,4299,yes
3467,C,Ship,4,ok,143,3,medium,F,3,5062,yes
3468,F,Ship,3,worst,180,3,low,F,10,5633,no
3469,D,Ship,4,excellent,221,3,medium,F,3,4430,yes
3470,F,Ship,4,ok,173,3,low,F,7,4810,yes
3471,A,Ship,2,excellent,107,3,medium,M,2,4853,no
3472,B,Ship,3,good,259,2,medium,F,3,4154,yes
3473,C,Ship,5,good,134,3,medium,M,4,4908,no
3474,F,Ship,3,bad,204,4,low,M,4,4745,no
3475,D,Ship,2,bad,161,5,medium,M,3,4138,no
3476,F,Ship,6,good,100,5,low,F,7,5668,yes
3477,A,Ship,5,bad,260,4,medium,F,3,5890,no
3478,B,Ship,5,bad,196,3,low,F,4,4271,no
3479,C,Ship,5,bad,260,3,low,M,1,4799,yes
3480,F,Ship,3,worst,193,4,low,M,5,4700,no
3481,D,Ship,4,worst,258,3,medium,M,7,4159,no
3482,F,Ship,4,ok,254,4,low,M,9,4492,no
3483,A,Ship,3,excellent,216,4,low,F,3,4934,no
3484,B,Ship,4,worst,273,3,low,F,5,5323,no
3485,C,Ship,4,good,223,4,low,M,1,4219,no
3486,F,Ship,4,worst,182,2,medium,F,10,5638,no
3487,D,Ship,3,good,201,3,low,F,6,5722,yes
3488,F,Ship,4,ok,249,3,medium,F,6,5657,yes
3489,A,Ship,5,good,152,3,low,M,1,5314,yes
3490,B,Ship,3,worst,244,4,medium,M,6,4734,yes
3491,C,Ship,3,worst,256,4,medium,F,3,4398,yes
3492,F,Ship,4,bad,223,3,medium,M,3,5121,no
3493,D,Ship,3,bad,185,2,high,F,3,4816,yes
3494,F,Ship,3,worst,166,3,medium,M,9,4410,no
3495,A,Ship,3,good,113,3,medium,M,1,5765,yes
3496,B,Ship,4,worst,134,2,medium,F,7,5967,no
3497,C,Ship,4,ok,228,2,high,F,4,4719,yes
3498,F,Ship,3,good,204,2,low,F,10,5844,yes
3499,D,Ship,3,worst,152,2,medium,F,2,4136,no
3500,F,Ship,3,bad,195,2,medium,M,9,5779,yes
3501,A,Ship,4,bad,192,6,high,F,3,5173,no
3502,B,Ship,4,bad,247,3,medium,M,8,4977,no
3503,C,Ship,3,worst,135,2,medium,M,2,4163,no
3504,F,Ship,4,bad,209,2,medium,F,1,5337,no
3505,D,Ship,2,good,173,2,low,M,1,4721,no
3506,F,Ship,4,good,222,2,low,M,5,5660,no
3507,A,Ship,4,ok,192,3,medium,F,10,4086,yes
3508,B,Ship,3,excellent,206,3,medium,F,6,5618,no
3509,C,Ship,3,ok,275,4,medium,M,6,4687,yes
3510,F,Ship,2,ok,192,3,medium,F,8,5787,yes
3511,D,Ship,6,ok,121,3,medium,F,10,5208,no
3512,F,Ship,4,bad,177,3,low,M,8,4904,no
3513,A,Ship,3,worst,243,3,low,F,2,4989,no
3514,B,Ship,3,bad,262,4,low,M,1,4745,yes
3515,C,Ship,2,good,189,3,low,M,3,5897,yes
3516,F,Ship,5,good,178,2,low,F,4,5307,no
3517,D,Ship,3,good,232,3,medium,F,1,4228,yes
3518,F,Ship,4,excellent,254,3,low,M,1,4377,yes
3519,A,Ship,3,worst,148,2,medium,M,5,4082,yes
3520,B,Ship,4,ok,253,4,high,M,4,4868,yes
3521,C,Ship,4,excellent,223,3,medium,F,9,5279,yes
3522,F,Ship,2,bad,190,2,medium,M,7,4075,no
3523,D,Ship,5,ok,181,4,low,F,2,5332,no
3524,F,Ship,2,ok,226,3,low,M,8,5119,no
3525,A,Ship,3,good,182,2,medium,M,8,4883,no
3526,B,Ship,2,good,191,3,medium,F,6,4119,no
3527,C,Ship,3,worst,223,4,low,M,1,4195,no
3528,F,Ship,4,excellent,274,3,medium,M,4,4521,no
3529,D,Ship,4,good,218,2,low,M,9,5637,no
3530,F,Ship,3,excellent,197,3,low,M,3,5658,no
3531,A,Ship,4,bad,137,3,low,F,6,5271,no
3532,B,Ship,2,worst,163,3,low,F,3,5873,yes
3533,C,Ship,4,good,218,4,low,M,6,4377,yes
3534,F,Ship,5,worst,245,3,low,M,6,4343,yes
3535,D,Ship,3,excellent,181,2,medium,M,2,4089,no
3536,F,Road,6,ok,222,5,high,F,2,4612,no
3537,A,Road,4,excellent,259,2,low,M,7,4390,yes
3538,B,Road,3,good,157,3,medium,F,6,5398,yes
3539,C,Road,4,ok,137,3,medium,F,10,4820,yes
3540,F,Road,3,ok,242,3,low,F,8,4199,no
3541,D,Road,4,excellent,154,4,medium,M,7,4938,no
3542,F,Road,3,bad,150,2,low,F,3,4174,no
3543,A,Road,5,ok,174,3,medium,F,7,5510,yes
3544,B,Road,5,excellent,265,3,high,F,3,5837,yes
3545,C,Road,3,good,248,4,medium,M,8,4540,no
3546,F,Road,4,ok,186,3,low,M,7,5156,yes
3547,D,Road,4,bad,152,3,medium,M,6,5764,yes
3548,F,Road,3,ok,163,3,medium,M,2,5791,yes
3549,A,Road,4,excellent,168,4,medium,M,5,5735,yes
3550,B,Road,4,ok,102,3,medium,F,3,4845,yes
3551,C,Road,3,worst,169,2,medium,F,1,4783,yes
3552,F,Road,6,worst,163,4,high,M,3,4031,yes
3553,D,Road,2,worst,154,3,medium,F,4,5100,no
3554,F,Road,3,excellent,271,2,low,F,3,4878,no
3555,A,Road,3,good,182,3,medium,F,7,5409,yes
3556,B,Road,4,worst,173,3,low,F,5,5232,no
3557,C,Road,5,bad,244,2,low,M,10,5696,no
3558,F,Flight,4,excellent,214,2,low,M,8,4512,no
3559,D,Flight,4,good,210,2,high,M,6,4076,no
3560,F,Flight,5,ok,194,7,medium,F,10,5700,no
3561,A,Flight,4,ok,185,10,high,F,7,4818,yes
3562,B,Flight,3,ok,121,2,low,M,10,5130,yes
3563,C,Flight,3,worst,203,3,medium,F,3,4137,no
3564,F,Flight,2,excellent,134,10,high,M,8,5472,no
3565,D,Flight,3,ok,263,3,medium,F,9,5665,yes
3566,F,Flight,5,worst,279,8,low,F,6,5888,yes
3567,A,Flight,4,excellent,222,3,low,F,5,5584,no
3568,B,Flight,4,worst,233,2,low,M,9,4799,yes
3569,C,Flight,4,good,271,3,low,M,3,4152,no
3570,F,Flight,3,good,118,4,low,M,6,5964,no
3571,D,Flight,3,good,183,2,low,M,5,4261,yes
3572,F,Flight,3,good,217,3,low,F,5,4077,no
3573,A,Flight,3,excellent,245,10,medium,M,8,4909,yes
3574,B,Flight,3,good,143,4,medium,M,5,5545,yes
3575,C,Flight,3,ok,149,3,medium,F,3,4189,no
3576,F,Flight,4,excellent,275,6,medium,M,10,1400,yes
3577,D,Flight,4,excellent,168,4,medium,F,4,4776,yes
3578,F,Flight,4,worst,102,3,medium,M,3,4179,no
3579,A,Flight,3,bad,169,2,medium,F,10,4038,yes
3580,B,Ship,6,excellent,163,4,high,M,3,5118,yes
3581,C,Ship,2,ok,154,3,medium,M,3,4478,no
3582,F,Ship,3,ok,271,2,low,F,8,4444,yes
3583,D,Ship,3,good,182,3,medium,F,2,5281,yes
3584,F,Ship,4,excellent,173,3,low,F,7,4410,no
3585,A,Ship,5,excellent,244,2,low,M,10,5794,no
3586,B,Ship,4,excellent,214,2,low,M,3,5546,no
3587,C,Ship,4,bad,210,2,high,F,3,5876,yes
3588,F,Ship,5,worst,194,7,medium,M,8,4770,no
3589,D,Ship,4,ok,185,10,high,M,1,4973,no
3590,F,Ship,3,worst,121,2,low,M,2,5210,yes
3591,A,Ship,3,good,203,3,medium,M,1,5543,no
3592,B,Ship,2,ok,134,10,high,F,1,5632,no
3593,C,Ship,3,bad,263,3,medium,M,8,5447,yes
3594,F,Ship,5,bad,279,8,low,M,5,4785,no
3595,D,Ship,4,bad,222,3,low,F,3,5130,no
3596,F,Ship,4,bad,233,2,low,F,5,4668,no
3597,A,Ship,4,bad,271,3,low,M,9,4085,no
3598,B,Ship,3,excellent,118,4,low,F,10,5699,yes
3599,C,Ship,3,good,183,2,low,M,3,4179,yes
3600,F,Ship,3,good,217,3,low,F,5,4883,yes
3601,D,Ship,3,good,245,10,medium,M,1,5363,no
3602,F,Ship,3,bad,143,4,medium,F,7,4486,no
3603,A,Ship,3,bad,149,3,medium,F,7,4049,yes
3604,B,Ship,4,bad,275,6,medium,M,9,1890,no
3605,C,Ship,7,good,282,5,low,M,5,1149,no
3606,F,Ship,4,worst,276,2,medium,M,3,1966,no
3607,D,Ship,4,excellent,244,3,low,M,6,1360,yes
3608,F,Ship,5,excellent,258,4,medium,M,7,5478,no
3609,A,Ship,3,excellent,257,3,low,M,5,5657,no
3610,B,Ship,4,bad,195,5,medium,M,9,5178,yes
3611,C,Ship,2,bad,152,4,low,M,6,4606,yes
3612,F,Ship,2,worst,100,3,low,M,1,5776,yes
3613,D,Ship,4,worst,248,2,medium,M,4,5783,no
3614,F,Ship,4,excellent,274,2,low,F,2,4492,yes
3615,A,Ship,3,ok,203,2,low,M,1,5244,no
3616,B,Ship,6,excellent,194,5,low,F,8,4777,no
3617,C,Ship,3,ok,142,3,low,F,7,4439,no
3618,F,Ship,4,excellent,208,5,low,F,7,5833,no
3619,D,Ship,4,excellent,237,2,medium,F,6,5954,no
3620,F,Ship,3,worst,210,2,low,M,9,4580,no
3621,A,Ship,3,ok,158,2,low,M,10,4061,yes
3622,B,Ship,3,ok,148,3,low,M,1,5700,no
3623,C,Ship,3,bad,146,3,high,F,4,5846,yes
3624,F,Ship,3,ok,155,3,low,F,3,5768,no
3625,D,Ship,2,excellent,233,3,medium,M,10,5211,yes
3626,F,Ship,3,good,165,2,medium,F,8,4280,yes
3627,A,Ship,4,ok,227,3,medium,F,10,5491,yes
3628,B,Ship,5,ok,197,4,low,F,6,4184,no
3629,C,Ship,4,worst,134,3,medium,M,2,4983,no
3630,F,Ship,5,bad,134,2,low,M,9,5045,no
3631,D,Ship,4,excellent,194,2,low,M,3,4724,yes
3632,F,Ship,3,good,172,3,low,F,4,4337,no
3633,A,Ship,3,worst,205,2,medium,F,2,5322,no
3634,B,Ship,3,worst,191,5,low,F,9,5196,yes
3635,C,Ship,3,ok,225,4,low,M,10,5690,no
3636,F,Ship,5,excellent,152,6,medium,M,2,4915,yes
3637,D,Ship,5,ok,249,3,medium,M,10,5001,yes
3638,F,Ship,5,excellent,136,3,low,M,4,4218,yes
3639,A,Ship,3,excellent,146,5,high,F,7,4538,no
3640,B,Ship,5,bad,259,2,medium,M,1,4607,no
3641,C,Ship,3,bad,159,3,medium,M,4,5577,yes
3642,F,Ship,5,worst,162,3,medium,M,5,4064,yes
3643,D,Ship,4,good,205,4,low,F,6,5064,no
3644,F,Ship,5,excellent,155,3,medium,F,6,4109,yes
3645,A,Ship,4,excellent,171,4,medium,F,4,4151,no
3646,B,Ship,3,worst,244,3,medium,F,1,5695,yes
3647,C,Ship,5,excellent,135,3,medium,M,2,5849,yes
3648,F,Ship,4,bad,147,3,low,F,5,5174,no
3649,D,Ship,3,bad,245,2,low,F,4,4514,yes
3650,F,Ship,5,good,266,6,low,F,5,5481,no
3651,A,Ship,3,excellent,165,3,low,M,3,5409,no
3652,B,Ship,4,ok,226,3,medium,M,1,5433,yes
3653,C,Ship,5,good,185,3,medium,F,1,4925,no
3654,F,Ship,5,ok,267,3,low,M,9,5258,yes
3655,D,Ship,5,ok,169,3,low,F,9,4289,yes
3656,F,Ship,4,worst,191,3,high,F,6,5335,yes
3657,A,Ship,3,worst,187,3,medium,M,2,5154,yes
3658,B,Ship,3,bad,265,6,low,M,9,5936,no
3659,C,Ship,3,bad,243,3,medium,F,8,4093,no
3660,F,Ship,6,ok,166,3,low,F,2,5559,no
3661,D,Ship,5,ok,249,2,medium,M,3,4440,no
3662,F,Ship,4,worst,271,2,low,F,1,4866,no
3663,A,Ship,4,ok,272,2,medium,F,5,4681,yes
3664,B,Ship,4,ok,226,2,low,F,8,4526,no
3665,C,Ship,3,ok,250,5,medium,M,8,5762,yes
3666,F,Ship,2,excellent,135,6,medium,F,9,5777,yes
3667,D,Ship,4,good,274,3,high,F,3,4202,yes
3668,F,Ship,4,good,184,3,medium,F,2,4124,yes
3669,A,Ship,2,worst,139,2,medium,F,2,4520,yes
3670,B,Ship,3,ok,198,2,low,M,8,4620,yes
3671,C,Ship,4,bad,168,2,medium,M,1,5154,no
3672,F,Ship,4,good,245,4,medium,M,4,5203,yes
3673,D,Road,4,worst,251,3,low,F,4,4374,yes
3674,F,Road,4,worst,153,2,medium,M,9,4359,no
3675,A,Road,5,worst,142,4,medium,F,2,4735,yes
3676,B,Road,4,excellent,148,3,low,M,5,4913,no
3677,C,Road,4,bad,273,5,low,F,1,5012,no
3678,F,Road,3,worst,180,6,low,M,5,4802,yes
3679,D,Road,3,ok,158,3,low,F,2,5205,yes
3680,F,Road,4,ok,240,2,medium,F,2,5588,no
3681,A,Road,4,worst,174,3,low,M,7,4813,yes
3682,B,Road,4,bad,186,3,low,M,6,4524,no
3683,C,Road,5,excellent,174,3,high,F,9,5969,yes
3684,F,Road,4,worst,260,4,low,M,10,4072,yes
3685,D,Road,4,ok,258,2,low,F,2,4308,no
3686,F,Road,4,bad,262,2,medium,M,3,4090,yes
3687,A,Road,4,bad,197,3,low,M,4,5800,no
3688,B,Road,4,worst,238,3,low,M,4,5449,yes
3689,C,Road,3,ok,168,2,low,F,9,4608,no
3690,F,Road,4,ok,266,3,low,M,9,5621,yes
3691,D,Road,4,good,251,3,high,F,5,5460,no
3692,F,Road,3,excellent,272,2,low,M,3,5638,yes
3693,A,Road,5,ok,203,2,medium,M,4,4311,yes
3694,B,Road,5,excellent,168,3,low,M,6,4096,no
3695,C,Flight,3,worst,138,3,medium,F,7,5534,no
3696,F,Flight,3,worst,129,3,medium,M,9,5296,yes
3697,D,Flight,4,good,178,6,low,F,9,5279,yes
3698,F,Flight,5,worst,211,2,medium,M,1,5913,yes
3699,A,Flight,3,excellent,169,3,high,F,5,5750,no
3700,B,Flight,3,bad,267,3,low,M,8,5922,no
3701,C,Flight,3,good,183,3,low,F,1,5959,yes
3702,F,Flight,3,worst,194,2,low,M,8,4335,yes
3703,D,Flight,5,ok,151,2,low,M,8,4749,no
3704,F,Flight,6,ok,225,4,low,M,5,4184,yes
3705,A,Flight,5,bad,184,4,low,M,6,4155,yes
3706,B,Flight,3,bad,269,2,medium,F,1,4978,no
3707,C,Flight,3,bad,274,2,medium,M,5,5161,no
3708,F,Flight,5,good,142,2,high,M,7,5341,no
3709,D,Flight,4,worst,140,4,low,M,6,5067,no
3710,F,Flight,4,worst,219,5,medium,M,5,5253,no
3711,A,Flight,2,ok,237,3,medium,M,2,5331,no
3712,B,Flight,3,excellent,140,5,low,M,7,4370,yes
3713,C,Flight,5,excellent,105,5,low,F,10,5418,yes
3714,F,Flight,3,worst,192,2,low,M,6,4056,no
3715,D,Flight,3,good,154,3,low,F,2,4990,yes
3716,F,Flight,5,excellent,165,2,low,M,3,4005,yes
3717,A,Ship,5,worst,197,4,low,F,2,5594,yes
